Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers,Sector GDP,Bachelors,Diploma,Master,Doctorate,Pre-University Diploma
2016,"Agriculture, forestry and fishing",M,24916,5088,24848,1016.0,0.0,0.0,0.0,0.0,0.0
2016,Mining and quarrying,M,93901,26784,93635,163984.0,0.0,0.0,0.0,0.0,0.0
2016,Manufacturing,M,141850,8419,141666,46814.0,0.0,0.0,0.0,0.0,0.0
2016,"Electricity, gas, steam and air conditioning supply",M,15844,22891,15844,2989.5,0.0,0.0,0.0,0.0,0.0
2016,"Water supply; sewerage, waste management and remediation activities",M,8578,17353,8578,2989.5,0.0,0.0,0.0,0.0,0.0
2016,Construction,M,840820,6090,839136,77079.0,0.0,0.0,0.0,0.0,0.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,227380,7644,224442,46981.0,0.0,0.0,0.0,0.0,0.0
2016,Transportation and storage,M,48627,14353,47917,24927.0,0.0,0.0,0.0,0.0,0.0
2016,Accommodation and food service activities,M,55408,5844,55325,5620.0,0.0,0.0,0.0,0.0,0.0
2016,Information and communication,M,13153,28472,13079,9810.0,0.0,0.0,3.0,0.0,0.0
2016,Financial and insurance activities,M,9886,28626,9602,47019.0,117.0,0.0,13.0,0.0,0.0
2016,Real estate activities,M,11405,15922,10839,42776.0,0.0,0.0,0.0,0.0,0.0
2016,"Professional, scientific and technical activities",M,25458,17239,25268,10540.0,0.0,0.0,0.0,0.0,0.0
2016,Administrative and support service activities,M,79049,6636,78951,10540.0,0.0,0.0,0.0,0.0,0.0
2016,Public administration and defence; compulsory social security,M,71856,29311,71800,43857.0,46.0,0.0,3.0,0.0,0.0
2016,Education,M,13471,25044,13387,12089.0,31.0,102.0,8.0,0.0,0.0
2016,Human health and social work activities,M,13733,22116,13663,14009.0,0.0,0.0,2.0,1.0,0.0
2016,"Arts, entertainment and recreation",M,5396,18915,5368,4233.0,91.0,0.0,0.0,0.0,0.0
2016,Other service activities,M,11424,11670,11318,4233.0,0.0,0.0,0.0,0.0,0.0
2016,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,66121,2787,66121,3817.0,0.0,0.0,0.0,0.0,0.0
2017,"Agriculture, forestry and fishing",F,0,0,0,1259.0,0.0,0.0,0.0,0.0,0.0
2017,Mining and quarrying,F,6776,22032,6776,199405.0,0.0,0.0,0.0,0.0,0.0
2017,Manufacturing,F,2288,14920,2217,47189.0,0.0,0.0,0.0,0.0,0.0
2017,"Electricity, gas, steam and air conditioning supply",F,1522,21299,1522,3392.5,0.0,0.0,0.0,0.0,0.0
2017,"Water supply; sewerage, waste management and remediation activities",F,655,18094,655,3392.5,0.0,0.0,0.0,0.0,0.0
2017,Construction,F,6462,12491,6364,79040.0,0.0,0.0,0.0,0.0,0.0
